"Verona","Feather","Freeport","Fremont","AltChannel","PropFremont","Date"
11816.782,3668,14291.262,0,0,0,1996-10-02
11721.8671666667,3673,12717.5565,0,0,0,1996-10-03
11566.7108333333,3560,14270.1365833333,0,0,0,1996-10-04
11380.37525,3332,13960.3845833333,0,0,0,1996-10-05
11490.0787083333,3699,14104.693375,0,0,0,1996-10-06
11222.5257083333,3547,14160.82675,0,0,0,1996-10-07
10767.4809583333,3460,13562.109,0,0,0,1996-10-08
10665.6562083333,3633,13261.67175,0,0,0,1996-10-09
10524.37075,3591,13012.616625,0,0,0,1996-10-10
10424.7419583333,3693,13123.8225833333,0,0,0,1996-10-11
10161.9266666667,3566,12936.941875,0,0,0,1996-10-12
9744.20766666667,3501,12377.8957916667,0,0,0,1996-10-13
9416.235625,3555,12223.4199583333,0,0,0,1996-10-14
9077.49408333333,3536,11880.0430833333,0,0,0,1996-10-15
8710.62320833333,3474,11229.2669166667,0,0,0,1996-10-16
8487.371625,3487,11219.6497083333,0,0,0,1996-10-17
8239.55883333333,3403,10866.3182083333,0,0,0,1996-10-18
8069.374,3458,10516.0415416667,0,0,0,1996-10-19
8182.36358333333,3636,11036.2530416667,0,0,0,1996-10-20
8195.865,3458,11267.6204583333,0,0,0,1996-10-21
8190.19541666666,3402,12378.6980416667,0,0,0,1996-10-22
8357.13029166667,3597,10239.45125,0,0,0,1996-10-23
8412.257375,3743,10913.934375,0,0,0,1996-10-24
8641.550625,3601,11320.9823333333,0,0,0,1996-10-25
8926.70729166667,3763,11520.7094166667,0,0,0,1996-10-26
8867.15716666667,3457,12243.679875,0,0,0,1996-10-27
8681.640375,3205,12078.998375,0,0,0,1996-10-28
8488.014125,3213,9931.825875,0,0,0,1996-10-29
8917.31154166666,2386,12073.9590833333,0,0,0,1996-10-30
9513.96033333333,2804,13128.0946666667,0,0,0,1996-10-31
10313.045125,3960,13547.8964166667,0,0,0,1996-11-01
10827.7094166667,3905,13917.5809583333,0,0,0,1996-11-02
10548.566625,3626,13453.5275416667,0,0,0,1996-11-03
10471.6565,3928,13468.2544166667,0,0,0,1996-11-04
10414.78175,3926,13670.68175,0,0,0,1996-11-05
10233.532,3790,13372.521625,0,0,0,1996-11-06
9971.77075,3601,13105.7124583333,0,0,0,1996-11-07
9863.27833333333,3562,12842.5905416667,0,0,0,1996-11-08
9849.63341666666,3568,12653.6787083333,0,0,0,1996-11-09
9840.30254166667,3582,12529.3227083333,0,0,0,1996-11-10
9758.280375,3542,12404.8764166667,0,0,0,1996-11-11
9843.29395833334,3661,12441.6840833333,0,0,0,1996-11-12
9924.14541666666,3563,12764.5649583333,0,0,0,1996-11-13
9938.168875,3625,12606.7185833333,0,0,0,1996-11-14
9744.78333333333,3453,12647.619625,0,0,0,1996-11-15
9621.65670833333,3478,12376.1975833333,0,0,0,1996-11-16
9691.45208333333,3544,12727.568375,0,0,0,1996-11-17
9949.33108333333,3772,12638.8831666667,0,0,0,1996-11-18
10457.5704166667,4012,13253.2850416667,0,0,0,1996-11-19
11205.036,4354,13691.926125,0,0,0,1996-11-20
12080.3052916667,4441,15350.6200833333,0,0,0,1996-11-21
13503.5597916667,4459,16763.3702916667,0,14.3567083333333,0.00181778426415794,1996-11-22
14603.7243333333,4450,18078.6238333333,0,13.0307083333333,0.00143088380808676,1996-11-23
14880.8676666667,4608,19470.763,0,0,0,1996-11-24
16731.6007083333,5673,20506.7492916667,0,0,0,1996-11-25
15761.9116666667,3515,21201.2975416667,0,0,0,1996-11-26
14051.7668333333,4013,19289.4831666667,0,0,0,1996-11-27
13075.4797916667,4158,18093.891625,0,0,0,1996-11-28
12456.7907916667,4183,17174.0546666667,0,0,0,1996-11-29
12070.9507916667,4047,17238.9938333333,0,0,0,1996-11-30
11800.1302083333,3958,16989.41925,0,0,0,1996-12-01
11560.2809166667,4272,16286.71225,0,0,0,1996-12-02
11339.6197083333,4262,15341.37075,0,0,0,1996-12-03
11162.7235833333,4139,14385.9091666667,0,0,0,1996-12-04
11227.7527916667,4179,14577.7180416667,0,0,0,1996-12-05
11929.3766666667,5146,15897.591875,0,0,0,1996-12-06
18258.4771666667,11815,26090.3602083333,0,0,0,1996-12-07
24340.1412916667,14721,41972.1727916667,0,699.209708333333,0.0765305216856636,1996-12-08
24537.5274166667,11034,45013.4803333333,0,1037.63695833333,0.0781637747768628,1996-12-09
25835.7492083333,12614,40757.0609166667,0,1087.60991666667,0.0835122418285203,1996-12-10
30419.887875,13300,42728.143375,0,2103.55195833333,0.129653287259358,1996-12-11
36141.0942083333,13400,46518.7164583333,0,3001.85675,0.156812643804702,1996-12-12
41987.0715416667,14113,51599.6729166667,0,2953.93758333333,0.142420147714647,1996-12-13
54475.8207916667,27167,65166.5251666667,2584.40969583333,3310.41675,0.203167262299662,1996-12-14
58925.8194583333,36825,82697.656125,35133.17195,4319.58283333333,0.699051213902213,1996-12-15
57857.6205416667,34427,84959.6078333333,40865.2157333333,4219.89225,0.706588615739304,1996-12-16
58112.0283333333,32270,81938.072875,32504.5829958333,4504.80341666667,0.630275124040233,1996-12-17
57268.7572083333,28645,78129.5745833333,20733.1962958333,4392.862875,0.499456355605096,1996-12-18
56027.3006666667,22683,73819.952625,8996.13102916667,3904.053875,0.297037478906503,1996-12-19
55115.2544583333,24080,70139.12275,2531.65865,3522.7825,0.173904756144149,1996-12-20
53876.8325,25431,66859.7324166667,273.1332625,3092.189625,0.112117053102059,1996-12-21
52091.602625,25061,63838.3126666667,0.324508333333333,2933.94770833333,0.106484451447349,1996-12-22
51002.7829583333,26053,61816.8581666667,0,2934.48945833333,0.133166326992486,1996-12-23
51066.4615416666,28464,62243.3745416667,0,2942.91679166667,0.147076872786403,1996-12-24
51092.42525,27884,63132.0264166667,0,2941.96166666667,0.137897642812898,1996-12-25
