WaterYear,Abundance,Run
1997,181261437.5,Fall
1998,224508625,Fall
1999,114386250,Fall
2000,226862625,Fall
2001,226872250,Fall
2002,307269875,Fall
2003,482906187.5,Fall
2004,273002125,Fall
2005,165527312.5,Fall
2006,226491375,Fall
2007,170320562.5,Fall
2008,53512250,Fall
2009,43553125,Fall
2010,27077187.5,Fall
2011,88621500,Fall
1997,1004125,LateFall
1998,3665600,LateFall
1999,31149625,LateFall
2000,11424550,LateFall
2001,9340175,LateFall
2002,15814425,LateFall
2003,31187325,LateFall
2004,8118550,LateFall
2005,11079450,LateFall
2006,13495150,LateFall
2007,11926250,LateFall
2008,9745450,LateFall
2009,7600175,LateFall
2010,7310900,LateFall
2011,7278275,LateFall
1997,1628025,Spring
1998,876487.5,Spring
1999,14502162.5,Spring
2000,3731350,Spring
2001,3271975,Spring
2002,7933100,Spring
2003,7821012.5,Spring
2004,5257087.5,Spring
2005,5856725,Spring
2006,8601950,Spring
2007,4907962.5,Spring
2008,4137437.5,Spring
2009,2749512.5,Spring
2010,1526350,Spring
2011,1166200,Spring
1997,468050,Winter
1998,386650,Winter
1999,1383800,Winter
2000,1520700,Winter
2001,624375,Winter
2002,3803600,Winter
2003,3441462.5,Winter
2004,3800825,Winter
2005,3639412.5,Winter
2006,7325537.5,Winter
2007,7996625,Winter
2008,1175212.5,Winter
2009,1308875,Winter
2010,2098362.5,Winter
2011,738150,Winter
