"Verona","Feather","Freeport","Fremont","AltChannel","PropFremont","Date"
11816.651,3668,14291.066,0,0,0,1996-10-02
11721.8651666667,3673,12717.5532083333,0,0,0,1996-10-03
11572.2472916667,3560,14275.0869583333,0,0,0,1996-10-04
11377.6950833333,3332,13958.6013333333,0,0,0,1996-10-05
11487.21275,3699,14101.9139583333,0,0,0,1996-10-06
11215.0176666667,3547,14155.2649166667,0,0,0,1996-10-07
10772.1668333333,3460,13560.4889583333,0,0,0,1996-10-08
10664.9584166667,3633,13261.356,0,0,0,1996-10-09
10523.4239583333,3591,13011.2854583333,0,0,0,1996-10-10
10424.215875,3693,13122.1475416667,0,0,0,1996-10-11
10160.6810833333,3566,12935.4478333333,0,0,0,1996-10-12
9740.09683333333,3501,12376.3757083333,0,0,0,1996-10-13
9418.41120833333,3555,12223.0964583333,0,0,0,1996-10-14
9077.00583333333,3536,11879.7245833333,0,0,0,1996-10-15
8709.35695833334,3474,11228.1227916667,0,0,0,1996-10-16
8490.79870833333,3487,11220.7314583333,0,0,0,1996-10-17
8243.83575,3403,10871.114875,0,0,0,1996-10-18
8077.68745833333,3458,10523.7693333333,0,0,0,1996-10-19
8189.83508333333,3636,11044.6329166667,0,0,0,1996-10-20
8203.203875,3458,11273.769125,0,0,0,1996-10-21
8195.80016666667,3402,12383.4085,0,0,0,1996-10-22
8361.465875,3597,10243.353875,0,0,0,1996-10-23
8415.764875,3743,10917.0399166667,0,0,0,1996-10-24
8641.14925,3601,11322.0375833333,0,0,0,1996-10-25
8923.38308333333,3763,11519.815625,0,0,0,1996-10-26
8859.018875,3457,12237.2341666667,0,0,0,1996-10-27
8677.33208333333,3205,12076.706125,0,0,0,1996-10-28
8484.24254166667,3213,9926.043125,0,0,0,1996-10-29
8916.85883333333,2386,12072.7934583333,0,0,0,1996-10-30
9506.56125,2804,13124.49675,0,0,0,1996-10-31
10303.9345833333,3960,13539.5180416667,0,0,0,1996-11-01
10827.2610833333,3905,13915.856,0,0,0,1996-11-02
10548.42975,3626,13452.684125,0,0,0,1996-11-03
10471.6245833333,3928,13468.232,0,0,0,1996-11-04
10414.76575,3926,13670.6115416667,0,0,0,1996-11-05
10233.50825,3790,13372.487875,0,0,0,1996-11-06
9971.36029166667,3601,13105.7995833333,0,0,0,1996-11-07
9863.23941666667,3562,12842.3710833333,0,0,0,1996-11-08
9849.644625,3568,12653.5091666667,0,0,0,1996-11-09
9840.2815,3582,12529.297125,0,0,0,1996-11-10
9758.25895833333,3542,12405.01175,0,0,0,1996-11-11
9843.92779166667,3661,12441.6520833333,0,0,0,1996-11-12
9924.19816666667,3563,12764.7997083333,0,0,0,1996-11-13
9938.16116666667,3625,12606.71125,0,0,0,1996-11-14
9744.85154166667,3453,12647.676625,0,0,0,1996-11-15
9621.62529166667,3478,12376.123,0,0,0,1996-11-16
9691.45366666667,3544,12727.616125,0,0,0,1996-11-17
9949.37545833333,3772,12638.9545,0,0,0,1996-11-18
10457.653125,4012,13253.3665,0,0,0,1996-11-19
11205.24725,4354,13692.14025,0,0,0,1996-11-20
12082.8245833333,4441,15351.1547916667,0,0,0,1996-11-21
13509.3151666667,4459,16765.153125,0,0,0,1996-11-22
14625.0811666667,4450,18099.7969583333,0,0,0,1996-11-23
14882.07925,4608,19476.6029166667,0,0,0,1996-11-24
16732.0100833333,5673,20507.5366666667,0,0,0,1996-11-25
15761.7509583333,3515,21203.5448333333,0,0,0,1996-11-26
14041.3404166667,4013,19272.3362083333,0,0,0,1996-11-27
13086.74125,4158,18102.8614583333,0,0,0,1996-11-28
12459.6572083333,4183,17179.0685416667,0,0,0,1996-11-29
12072.80425,4047,17241.2444583333,0,0,0,1996-11-30
11800.6382916667,3958,16990.3257083333,0,0,0,1996-12-01
11557.050625,4272,16284.3938333333,0,0,0,1996-12-02
11339.1619166667,4262,15339.8065,0,0,0,1996-12-03
11162.3918333333,4139,14385.2885416667,0,0,0,1996-12-04
11227.3151666667,4179,14577.6602083333,0,0,0,1996-12-05
11929.884625,5146,15897.7035833333,0,0,0,1996-12-06
18261.0475833333,11815,26091.609875,0,0,0,1996-12-07
24676.9888333333,14721,42106.8579583333,0,0,0,1996-12-08
25487.0635833333,11034,45741.9274583333,0,0,0,1996-12-09
26813.7903333333,12614,41717.5367916667,0,0,0,1996-12-10
31803.259625,13300,43875.1610833333,0,0,0,1996-12-11
38149.6687083333,13400,48298.89025,0,0,0,1996-12-12
44331.268375,14113,53781.503375,0,0,0,1996-12-13
56122.5627916667,27167,67290.5309583333,5855.48004166667,0,0.191217812395349,1996-12-14
58950.2428333333,36825,83274.2035,40661.9580833333,0,0.705065222104336,1996-12-15
57816.8149583333,34427,84969.0721666667,45187.8835,0,0.70751220223283,1996-12-16
58352.7309166667,32270,82043.4979166667,36472.2977625,0,0.624279476553495,1996-12-17
57619.2458333333,28645,78428.0447916667,24635.2683916667,0,0.491069965140012,1996-12-18
56371.639,22683,74163.2447916667,12346.20075,0,0.285660493454282,1996-12-19
55705.3996666667,24080,70616.6159166667,4972.26419583333,0,0.144868248448102,1996-12-20
55070.0830416667,25431,67765.38275,1534.39447083333,0,0.05222852239979,1996-12-21
54012.8967916667,25061,65425.5047083333,188.6039125,0,0.00705549286541186,1996-12-22
53397.5797916667,26053,64015.7467083333,3.87465,0,0.00015985548952079,1996-12-23
53714.1620416667,28464,64776.7205416667,11.01135,0,0.000492828382386671,1996-12-24
53852.3382916667,27884,65838.916875,73.258575,0,0.00304906164641383,1996-12-25
52512.3351666667,24738,64502.4575,20.4780208333333,0,0.000776717843122906,1996-12-26
49450.7905,22117,60861.81975,0,0,0,1996-12-27
48222.7046666667,25026,60759.221375,0,0,0,1996-12-28
54450.6715416667,40358,72802.013375,5513.842,0,0.390512179030011,1996-12-29
57854.0100833333,70363,88111.3013333334,50488.0360375,0,1,1996-12-30
58220.307375,90110,94132.1089583333,79718.2979125,0,1,1996-12-31
60767.6470416667,114737,97636.520625,113881.857741667,0,1,1997-01-01
77796.6600416667,171038,90604.462125,169231.050795833,0,1,1997-01-02
93863.632375,283667,102333.775541667,286189.347041667,0,1,1997-01-03
87710.9784166667,221269,102484.866125,270211.108870833,0,1,1997-01-04
94430.0753333333,173428,98345.5587916667,286230.225829167,0,1,1997-01-05
90277.5060416667,138235,95507.6387916667,255414.751916667,0,1,1997-01-06
81278.176625,108459,92001.1703333334,196336.243404167,0,1,1997-01-07
79755.6846666667,101190,86558.6369166667,174983.998745833,0,1,1997-01-08
78242.773875,88534,83521.5615833333,158680.9134125,0,1,1997-01-09
74568.9612083334,73462,82684.1765833333,134367.537620833,0,1,1997-01-10
71329.3214583334,64094,81882.5474166667,112126.2813125,0,0.987639158209986,1997-01-11
64357.89825,58415,87382.5471666667,98865.6979666667,0,0.99590120269332,1997-01-12
61733.529375,48098,87319.7027916667,84000.9452166667,0,0.906486899246092,1997-01-13
61438.5365,38443,84225.2552916667,69177.0673916667,0,0.790761306540887,1997-01-14
61004.437125,31589,82399.926875,58560.7225833333,0,0.702477242803926,1997-01-15
61120.3881666667,28772,80235.1143333333,51967.1596583333,0,0.647868208496634,1997-01-16
61704.1735,26764,77691.6380833333,46506.5892291667,0,0.597458036106072,1997-01-17
62335.2669583334,23975,75160.508375,41021.5353333333,0,0.537875877532277,1997-01-18
62276.495375,20642,72961.53125,34809.0698958333,0,0.472111800146516,1997-01-19
61853.677,18977,71050.3083333333,28940.0595541667,0,0.41732402982744,1997-01-20
60953.78,19251,70249.453125,23524.1603375,0,0.375563688308325,1997-01-21
60148.7645833333,19521,69939.20925,19391.8023416667,0,0.338192340500777,1997-01-22
58530.3428333334,24668,77132.40075,21642.3012791667,0,0.44385683433687,1997-01-23
58337.4979583333,55285,90453.1106666667,60320.1024916667,0,1,1997-01-24
57344.9434166667,59135,94993.1883333334,80871.189975,0,1,1997-01-25
57713.6579583333,51960,95683.6657916667,86905.2345916667,0,1,1997-01-26
58640.8434583333,61789,97502.578375,103036.903295833,0,1,1997-01-27
61626.457375,61589,95952.5545416667,113428.6689625,0,1,1997-01-28
70335.6487083333,46720,83068.7545833333,103825.228958333,0,0.873531519560109,1997-01-29
70429.4308333333,49130,82428.0037083333,101903.301183333,0,0.885563286460084,1997-01-30
64281.2737916667,49447,88863.2005,100391.355858333,0,0.928366528684433,1997-01-31
62786.5244583333,47741,88071.89875,92394.49625,0,0.909412364589713,1997-02-01
63832.4244583333,47951,82029.504375,82255.199425,0,0.838460748234628,1997-02-02
64448.3209166667,46993,78616.1192916667,73691.0152875,0,0.808792951180304,1997-02-03
64171.8390416667,46048,77019.2427083333,65965.4360875,0,0.784786391884766,1997-02-04
63395.8227916667,44798,76096.2415416667,58126.1359208334,0,0.757936722051711,1997-02-05
62587.2128333333,45783,75293.832875,49887.192925,0,0.748411858479254,1997-02-06
62127.0367083333,46218,74663.6360416667,41628.4666333333,0,0.723929225424594,1997-02-07
61535.5194166667,43378,73766.3745833333,35245.031125,0,0.660408251063198,1997-02-08
60973.3077083333,39502,72031.59775,28750.80775,0,0.572860875277718,1997-02-09
60560.1545833333,36839,70168.8482083333,22950.7311583333,0,0.492104879827967,1997-02-10
59981.8239166667,34877,68279.3567083333,17646.1178833333,0,0.413094129396064,1997-02-11
59399.3849583333,33760,66451.905125,11754.89235,0,0.31463611078117,1997-02-12
58594.5575416667,32782,64891.9832083334,6497.0408375,0,0.201298850022056,1997-02-13
57578.9430416667,30980,63633.5342083333,2541.83320416667,0,0.0873278848436722,1997-02-14
55874.2560833333,28946,61931.1601666667,401.618454166667,0,0.0147135221337169,1997-02-15
