Scenario,WaterYear,Date,Inundated_sqkm
Alt01,1997,1996-10-02,43.8297962112
Alt01,1997,1996-10-03,47.0823316416
Alt01,1997,1996-10-04,47.1074154624
Alt01,1997,1996-10-05,47.2579183872
Alt01,1997,1996-10-06,47.3749762176
Alt01,1997,1996-10-07,47.2495571136
Alt01,1997,1996-10-08,47.157583104
Alt01,1997,1996-10-09,46.948551264
Alt01,1997,1996-10-10,47.0405252736
Alt01,1997,1996-10-11,46.2294817344
Alt01,1997,1996-10-12,45.6358313088
Alt01,1997,1996-10-13,46.1207851776
Alt01,1997,1996-10-14,46.321455744
Alt01,1997,1996-10-15,46.5054037632
Alt01,1997,1996-10-16,46.9987189056
Alt01,1997,1996-10-17,47.1408605568
Alt01,1997,1996-10-18,47.6258144256
Alt01,1997,1996-10-19,48.3950515968
Alt01,1997,1996-10-20,48.4870256064
Alt01,1997,1996-10-21,48.5873608896
Alt01,1997,1996-10-22,42.684301728
Alt01,1997,1996-10-23,48.0271555584
Alt01,1997,1996-10-24,47.7261497088
Alt01,1997,1996-10-25,47.1408605568
Alt01,1997,1996-10-26,46.3716233856
Alt01,1997,1996-10-27,45.485328384
Alt01,1997,1996-10-28,45.3431867328
Alt01,1997,1996-10-29,47.5171178688
Alt01,1997,1996-10-30,48.9887020224
Alt01,1997,1996-10-31,49.1392049472
Alt01,1997,1996-11-01,48.537193248
Alt01,1997,1996-11-02,48.8381990976
Alt01,1997,1996-11-03,49.5656299008
Alt01,1997,1996-11-04,49.5572686272
Alt01,1997,1996-11-05,49.4234882496
Alt01,1997,1996-11-06,48.9385343808
Alt01,1997,1996-11-07,48.3783290496
Alt01,1997,1996-11-08,47.6425369728
Alt01,1997,1996-11-09,47.1074154624
Alt01,1997,1996-11-10,46.781325792
Alt01,1997,1996-11-11,47.032164
Alt01,1997,1996-11-12,47.408421312
Alt01,1997,1996-11-13,47.3415311232
Alt01,1997,1996-11-14,47.9268202752
Alt01,1997,1996-11-15,48.0689619264
Alt01,1997,1996-11-16,48.5204707008
Alt01,1997,1996-11-17,48.5539157952
Alt01,1997,1996-11-18,49.038869664
Alt01,1997,1996-11-19,49.373320608
Alt01,1997,1996-11-20,49.4903784384
Alt01,1997,1996-11-21,48.8381990976
Alt01,1997,1996-11-22,49.415126976
Alt01,1997,1996-11-23,50.5188150912
Alt01,1997,1996-11-24,49.4485720704
Alt01,1997,1996-11-25,49.4903784384
Alt01,1997,1996-11-26,49.9335259392
